step,action_type,reward_breakdown
16,back,"{'empty_display': 0, 'empty_groupings': 0, 'same_display_seen_already': -0.9, 'back': 0, 'diversity': 1.6, 'interestingness': 0, 'kl_distance': 0, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
17,filter,"{'empty_display': -2.25, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': -2.25, 'kl_distance': 0, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
18,filter,"{'empty_display': -2.25, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': -2.25, 'kl_distance': 0, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
19,back,"{'empty_display': -2.25, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': -2.25, 'kl_distance': 0, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
20,back,"{'empty_display': -2.25, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': -2.25, 'kl_distance': 0, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
21,filter,"{'empty_display': -2.25, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': -2.25, 'kl_distance': 0, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
22,back,"{'empty_display': 0, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': 0, 'kl_distance': 0, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
23,filter,"{'empty_display': -2.25, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': -2.25, 'kl_distance': 0, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
24,filter,"{'empty_display': 0, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': 1.9380038544074227, 'kl_distance': 0, 'compaction_gain': 1.9380038544074227, 'humanity': 1.3499999999999999, 'rules_based_humanity': 1.3499999999999999, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
25,back,"{'empty_display': 0, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': 0, 'kl_distance': 0, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
26,filter,"{'empty_display': 0, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': 1.2966955585514415, 'kl_distance': 1.2966955585514415, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
27,group,"{'empty_display': 0, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': 1.9691174412543258, 'kl_distance': 0, 'compaction_gain': 1.9691174412543258, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
28,filter,"{'empty_display': 0, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': 0.02077759209821753, 'kl_distance': 0, 'compaction_gain': 0.02077759209821753, 'humanity': 0.45, 'rules_based_humanity': 0.45, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
29,back,"{'empty_display': 0, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': 0, 'kl_distance': 0, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
30,filter,"{'empty_display': 0, 'empty_groupings': 0, 'same_display_seen_already': -0.9, 'back': 0, 'diversity': 1.6, 'interestingness': 0, 'kl_distance': 0, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
31,group,"{'empty_display': 0, 'empty_groupings': 0, 'same_display_seen_already': -0.9, 'back': 0, 'diversity': 1.6, 'interestingness': 0, 'kl_distance': 0, 'compaction_gain': 0, 'humanity': 0.45, 'rules_based_humanity': 0.45, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
32,group,"{'empty_display': 0, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': 0.017537238969639234, 'kl_distance': 0, 'compaction_gain': 0.017537238969639234, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
33,back,"{'empty_display': 0, 'empty_groupings': -1.8, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': -1.8, 'kl_distance': 0, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
34,back,"{'empty_display': -2.25, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': -2.25, 'kl_distance': 0, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
35,back,"{'empty_display': 0, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': 0, 'kl_distance': 0, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
36,filter,"{'empty_display': 0, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': 1.9380038544074227, 'kl_distance': 0, 'compaction_gain': 1.9380038544074227, 'humanity': 1.3499999999999999, 'rules_based_humanity': 1.3499999999999999, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
37,filter,"{'empty_display': 0, 'empty_groupings': 0, 'same_display_seen_already': -0.9, 'back': 0, 'diversity': 1.6, 'interestingness': 0, 'kl_distance': 0, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
38,filter,"{'empty_display': 0, 'empty_groupings': 0, 'same_display_seen_already': -0.9, 'back': 0, 'diversity': 1.6, 'interestingness': 0, 'kl_distance': 0, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
39,filter,"{'empty_display': 0, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': 0.6325772409826678, 'kl_distance': 0.6325772409826678, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
40,back,"{'empty_display': 0, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': 0.11069046394210744, 'kl_distance': 0.11069046394210744, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
41,filter,"{'empty_display': -2.25, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': -2.25, 'kl_distance': 0, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
42,filter,"{'empty_display': -2.25, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': -2.25, 'kl_distance': 0, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
43,filter,"{'empty_display': -2.25, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': -2.25, 'kl_distance': 0, 'compaction_gain': 0, 'humanity': 0.45, 'rules_based_humanity': 0.45, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
44,back,"{'empty_display': -2.25, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': -2.25, 'kl_distance': 0, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
45,group,"{'empty_display': -2.25, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': -2.25, 'kl_distance': 0, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
46,group,"{'empty_display': -2.25, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': -2.25, 'kl_distance': 0, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
47,unknown,"{'empty_display': 0, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': 0, 'kl_distance': 0, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
48,group,"{'empty_display': 0, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': 1.9380038544074227, 'kl_distance': 0, 'compaction_gain': 1.9380038544074227, 'humanity': 1.3499999999999999, 'rules_based_humanity': 1.3499999999999999, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
49,back,"{'empty_display': 0, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': 0, 'kl_distance': 0, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
50,back,"{'empty_display': 0, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': -1.3499999999999999, 'diversity': 1.6, 'interestingness': 0, 'kl_distance': 0, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
51,group,"{'empty_display': 0, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': 0.029393874722886106, 'kl_distance': 0, 'compaction_gain': 0.029393874722886106, 'humanity': 0.45, 'rules_based_humanity': 0.45, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
52,back,"{'empty_display': 0, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': 0, 'kl_distance': 0, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
53,back,"{'empty_display': 0, 'empty_groupings': 0, 'same_display_seen_already': -0.9, 'back': 0, 'diversity': 1.6, 'interestingness': 0, 'kl_distance': 0, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
54,back,"{'empty_display': 0, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': 1.2966955585514415, 'kl_distance': 1.2966955585514415, 'compaction_gain': 0, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
55,group,"{'empty_display': 0, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': 0.020745739794446515, 'kl_distance': 0, 'compaction_gain': 0.020745739794446515, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
56,filter,"{'empty_display': 0, 'empty_groupings': 0, 'same_display_seen_already': 0, 'back': 0, 'diversity': 1.6, 'interestingness': 0.01566259346699423, 'kl_distance': 0, 'compaction_gain': 0.01566259346699423, 'humanity': 0.0, 'rules_based_humanity': 0.0, 'human_sessions_similarity': 0, 'coherency_score': 0, 'readability_score': 0, 'diversity_components': {'display_distance': 0.2, 'action_novelty': 1.0}, 'interestingness_components': {'kl_divergence': 0, 'compaction_gain': 0, 'information_gain': 0}}"
